Date,Open,High,Low,Close,Adj Close,Volume,Industry
1/4/2017,36500,36520,36100,36160,7829.846191,7971750,IT
1/5/2017,36060,36060,35540,35560,7699.925781,10967450,IT
1/6/2017,36180,36440,36040,36200,7838.507324,8880950,IT
1/9/2017,36600,37500,36560,37220,8059.371094,13194900,IT
1/10/2017,37280,37400,37080,37240,8063.70166,9099800,IT
1/11/2017,37520,38560,37420,38280,8288.896484,12018150,IT
1/12/2017,38000,38800,37980,38800,8401.495117,11669150,IT
1/13/2017,38100,38320,37460,37460,8111.339355,15954450,IT
1/16/2017,36860,37820,36320,36660,7938.112305,16611500,IT
1/17/2017,36580,37460,36580,36960,8003.072266,8150700,IT
1/18/2017,37040,37500,36620,36940,7998.742188,8875400,IT
1/19/2017,37720,37920,37020,37480,8115.669434,9418900,IT
1/20/2017,37120,37420,36880,37200,8055.040527,9185000,IT
1/23/2017,37200,38060,37000,38060,8241.258789,8810400,IT
1/24/2017,38120,38580,37880,38160,8262.913086,11048750,IT
1/25/2017,38340,39400,38320,39400,8531.415039,13433850,IT
1/26/2017,39420,40000,39420,39900,8639.680664,15214500,IT
1/31/2017,39900,39900,39460,39460,8544.40625,17992200,IT
2/1/2017,39540,39660,39040,39120,8470.785156,14150400,IT
2/2/2017,39600,39660,39200,39360,8522.75293,15029300,IT
2/3/2017,39400,39500,39180,39460,8544.40625,10386350,IT
2/6/2017,39580,39660,39140,39560,8566.05957,8860700,IT
2/7/2017,39560,39580,38760,38820,8405.824219,14041800,IT
2/8/2017,38740,38780,38200,38400,8314.880859,17092950,IT
2/9/2017,38780,38840,38220,38400,8314.880859,13694150,IT
2/10/2017,38400,38760,38300,38360,8306.219727,11020750,IT
2/13/2017,37740,38060,37720,37960,8219.606445,11102050,IT
2/14/2017,37960,38260,37320,37580,8137.324219,13124150,IT
2/15/2017,37080,37960,37080,37720,8167.637695,14191550,IT
2/16/2017,37800,38360,37780,38020,8232.597656,10226350,IT
2/17/2017,37560,38040,37280,37860,8197.953125,15377450,IT
2/20/2017,38220,38780,38160,38660,8371.179688,7485800,IT
2/21/2017,38540,39560,38420,38940,8431.808594,10562600,IT
2/22/2017,39000,39340,38980,39300,8509.760742,8539450,IT
2/23/2017,39020,39440,39020,39180,8483.776367,10217300,IT
2/24/2017,38960,39100,38060,38220,8275.904297,9296850,IT
2/27/2017,38020,38140,37700,38060,8241.258789,9033700,IT
2/28/2017,38060,38760,37960,38440,8323.541992,15088700,IT
3/2/2017,38420,39860,38420,39720,8600.705078,21249800,IT
3/3/2017,39340,39720,39160,39620,8579.050781,12708700,IT
3/6/2017,39220,40220,39220,40080,8678.65625,12234850,IT
3/7/2017,39800,40320,39800,40200,8704.641602,10553250,IT
3/8/2017,40200,40620,40140,40200,8704.641602,12140950,IT
3/9/2017,40200,40300,40020,40200,8704.641602,14372250,IT
3/10/2017,39960,40420,39860,40180,8700.30957,10227800,IT
3/13/2017,40040,40980,40040,40600,8791.253906,7424100,IT
3/14/2017,40620,41540,40500,41360,8955.819336,11325050,IT
3/15/2017,40800,41440,40800,41400,8964.480469,9587850,IT
3/16/2017,41800,42180,41540,41840,9059.755859,9933150,IT
3/17/2017,41800,42500,41720,42400,9181.014648,12602300,IT
3/20/2017,42000,42120,41740,41900,9072.748047,10250050,IT
3/21/2017,41780,42680,41760,42560,9215.65918,14220150,IT
3/22/2017,41600,42460,41580,42460,9194.005859,16427250,IT
3/23/2017,42200,42360,41700,41800,9051.09375,15397100,IT
3/24/2017,41600,41980,41080,41500,8986.134766,12808150,IT
3/27/2017,41200,41880,41180,41200,8921.173828,12177650,IT
3/28/2017,41560,41840,41380,41480,8981.802734,8216250,IT
3/29/2017,41740,41960,41580,41780,9046.763672,10093250,IT
3/30/2017,41880,42440,41880,41980,10919.58398,8204000,IT
3/31/2017,41820,42020,41200,41200,10716.69531,10500300,IT
4/3/2017,41400,41720,41300,41440,10779.12207,9579400,IT
4/4/2017,41600,42180,41520,42080,10945.5957,12255500,IT
4/5/2017,41900,42240,41700,42140,10961.20215,10699700,IT
4/6/2017,42000,42080,41600,41840,10883.16797,9683400,IT
4/7/2017,41800,41820,41160,41600,10820.74023,10021000,IT
4/10/2017,41940,41940,41500,41940,10909.17969,7141350,IT
4/11/2017,41940,41940,41580,41600,10820.74023,7172900,IT
4/12/2017,41860,41940,41700,41900,10898.77441,8274900,IT
4/13/2017,41660,42460,41660,42420,11034.03418,9040800,IT
4/14/2017,42160,42260,41760,42020,10929.98926,5462850,IT
4/17/2017,42000,42080,41520,41560,10810.33496,5224750,IT
4/18/2017,41680,41820,41280,41500,10794.72949,6860650,IT
4/19/2017,41300,41420,40900,40900,10638.66016,11762900,IT
4/20/2017,40580,40800,40080,40280,10477.38965,21148850,IT
4/21/2017,40480,41400,40480,40760,10602.24512,15130500,IT
4/24/2017,41260,41260,40920,41240,10727.09863,8990150,IT
4/25/2017,41460,42740,41320,42700,11106.86621,19299600,IT
4/26/2017,42700,42800,42520,42800,11132.87695,14794800,IT
4/27/2017,42700,44520,41960,43840,11403.39551,23032250,IT
4/28/2017,45780,45800,44520,44620,11606.28516,22685700,IT
5/2/2017,45500,45500,44760,44900,11679.11523,14068300,IT
5/4/2017,45700,45700,44860,45520,11840.38672,13690100,IT
5/8/2017,45520,47020,45340,47020,12230.55859,19582550,IT
5/10/2017,46160,47220,45600,45600,11861.19629,23410950,IT
5/11/2017,45420,46180,45220,45500,11835.18555,21277850,IT
5/12/2017,45760,46160,45660,45820,11918.4209,9422900,IT
5/15/2017,45620,46280,45620,46100,11991.25391,8001400,IT
5/16/2017,46660,46800,46100,46380,12064.08496,8803750,IT
5/17/2017,46120,46640,46100,46340,12053.68066,7424450,IT
5/18/2017,45740,46000,45540,45940,11949.63574,11160350,IT
5/19/2017,45640,45780,44720,44720,11632.2959,15762350,IT
5/22/2017,45040,45380,44760,45100,11731.13867,17643550,IT
5/23/2017,45400,45580,44900,44920,11684.31836,12607050,IT
5/24/2017,44860,45300,44800,44880,11673.91406,8675400,IT
5/25/2017,45160,45680,44800,45680,11882.00488,13044800,IT
5/26/2017,45600,46460,45540,46080,11986.05078,13613650,IT
5/29/2017,46220,46400,45380,45620,11866.39844,8739550,IT
5/30/2017,45520,45660,44480,44640,11611.48535,12433600,IT
5/31/2017,44580,45020,44400,44700,11627.09375,18669100,IT
6/1/2017,44860,44900,44400,44680,11621.89063,9753500,IT
6/2/2017,45060,45960,45000,45960,11954.83594,12488750,IT
6/5/2017,46040,46360,45720,45940,11949.63574,7599400,IT
6/7/2017,46500,46500,45240,45300,11783.16309,13729400,IT
6/8/2017,45000,45580,45000,45160,11746.74609,13978750,IT
6/9/2017,45680,46440,45600,46100,11991.25391,11732850,IT
6/12/2017,45420,45600,45140,45380,11803.97168,10954300,IT
6/13/2017,45140,45620,45140,45400,11809.17285,8624900,IT
6/14/2017,45800,46060,45240,45360,11798.76856,10166700,IT
6/15/2017,45680,45920,45180,45680,11882.00488,9657000,IT
6/16/2017,45500,45940,45460,45580,11855.99316,17403450,IT
6/19/2017,45580,46560,45560,46560,12110.9043,11303900,IT
6/20/2017,47240,48140,47220,48140,12521.88574,15045000,IT
6/21/2017,47740,48120,47480,47480,12350.20996,9973650,IT
6/22/2017,47960,48080,47720,47960,12475.06543,11455800,IT
6/23/2017,47600,47780,47420,47620,12386.62598,9515100,IT
6/26/2017,47520,48360,47520,48280,12558.30078,8552800,IT
6/27/2017,48220,48400,47900,48300,12563.50391,9616750,IT
6/28/2017,47600,48000,47560,47700,12407.43555,9572500,IT
6/29/2017,48040,48320,47940,47940,14614.55566,8306550,IT
6/30/2017,47500,47620,47100,47540,14492.61523,11877550,IT
7/3/2017,47500,47780,47120,47220,14395.06348,6805550,IT
7/4/2017,47160,47400,46900,47000,14327.99512,7961000,IT
7/5/2017,46820,47680,46780,47580,14504.80957,10640250,IT
7/6/2017,48000,48100,47720,48060,14651.1377,10923050,IT
7/7/2017,47740,48120,47620,47860,14590.16797,8131900,IT
7/10/2017,48500,48900,48320,48660,14834.04883,10792750,IT
7/11/2017,48640,49000,48280,49000,14937.69824,9717800,IT
7/12/2017,49000,50000,48840,49880,15205.9668,9486150,IT
7/13/2017,50080,50940,50040,50560,15413.2666,16034150,IT
7/14/2017,51000,51080,50420,50480,15388.87891,8239000,IT
7/17/2017,50900,51020,50520,50640,15437.6543,8976100,IT
7/18/2017,50420,50880,50360,50840,15498.625,7084450,IT
7/19/2017,50620,50820,50000,50740,15468.13867,11157500,IT
7/20/2017,50760,51320,50560,51200,15608.37109,8367600,IT
7/21/2017,50860,51160,50520,51080,15571.78809,8449050,IT
7/24/2017,50700,51000,50620,50860,15504.7207,7099750,IT
7/25/2017,50500,50760,49940,50000,15242.54981,10810600,IT
7/26/2017,49600,50020,49300,49840,15193.77344,11224800,IT
7/27/2017,50000,50640,49560,49800,15181.5791,11449500,IT
7/28/2017,49800,49800,47380,47760,14559.68262,26168300,IT
7/31/2017,47420,48240,46920,48200,14693.81738,12701400,IT
8/1/2017,48000,48840,47540,48600,14815.75781,11369500,IT
8/2/2017,49200,49340,48600,49000,14937.69824,7777450,IT
8/3/2017,49000,49000,47120,47780,14565.78027,15540800,IT
8/4/2017,48160,48180,47500,47700,14541.39258,8359200,IT
8/7/2017,47500,48080,47440,47580,14504.80957,7218250,IT
8/8/2017,47980,48260,47480,47720,14547.48828,7979600,IT
8/9/2017,47400,47400,46240,46280,14108.50391,14555400,IT
8/10/2017,46200,46320,45460,45900,13992.66016,22986150,IT
8/11/2017,45120,45300,44220,44620,13602.45117,25407300,IT
8/14/2017,45120,45400,44720,45000,13718.29395,19185600,IT
8/16/2017,46220,46380,46000,46200,14084.11426,21913650,IT
8/17/2017,46960,47300,46740,47040,14340.18945,12415850,IT
8/18/2017,46760,47240,46240,46900,14297.51172,10477950,IT
8/21/2017,47240,47240,46580,46840,14279.21973,5103450,IT
8/22/2017,46820,47160,46700,47000,14327.99512,7381750,IT
8/23/2017,47780,47780,47180,47480,14474.3252,9384700,IT
8/24/2017,47520,47660,47340,47520,14486.51856,8657450,IT
8/25/2017,47880,47880,46720,47020,14334.09375,11243550,IT
8/28/2017,47020,47240,45960,46100,14053.63086,9962100,IT
8/29/2017,45640,46080,45160,46080,14047.53223,12623650,IT
